trade_id,entry_ts,entry_ts_ist,pair,side,strategy_id,strategy_name,strategy_tier,confidence,entry_price,qty,note,exit_ts,exit_ts_ist,exit_price,realized_pnl
1770831417-DOGEUSDT,1770831417,2026-02-11 23:06:57 IST,DOGEUSDT,SHORT,cmf_divergence,CMF Divergence,2h,0.791419,0.09075,1209.8765432098792,CMF Bearish Divergence | Price HH but CMF LH | CMF: 0.066→-0.004 | RSI=61.7 | Strength=0.070,,,,
1770830668-AVAXUSDT,1770830668,2026-02-11 22:54:28 IST,AVAXUSDT,SHORT,structure_break_ob_4h,structure_break_ob_4h,4h,0.770000,8.632,3.4754402224281744,StructBreak 4H SHORT | broke SL=8.65 | OB=8.68-8.77 | vol=2.7x | mm=0.31 | tp=3.556% sl=1.899%,1770832238,2026-02-11 23:20:38 IST,8.64,-0.039
1770827600-ETHUSDT,1770827600,2026-02-11 22:03:20 IST,ETHUSDT,SHORT,mtf_ema_ribbon,Multi-TF EMA Ribbon,2h,0.740803,1933.6,0.047870066961105684,MTF EMA Ribbon SHORT | 15m DOWN trend | 5m rally rejection @ EMA20 | RSI=59.0 | Vol=1.0x | 15m gap=0.647%,,,,
1770826475-AVAXUSDT-LONG,1770826475,2026-02-11 21:44:35 IST,AVAXUSDT,LONG,supertrend_flip,Supertrend Trend Flip,2h,,8.635,12.249999999999991,Supertrend LONG Flip | ST=8.42 | RSI=61.6 | EMA50=8.57 | Vol=1.4x | ATR%=0.703% | conf=0.7476,,,,
1770825365-LTCUSDT-LONG,1770825365,2026-02-11 21:26:05 IST,LTCUSDT,LONG,cmf_divergence,CMF Divergence,2h,,51.25,2.3757575757575573,CMF Bullish Divergence | Price LL but CMF HL | CMF: -0.082→-0.009 | RSI=35.2 | Strength=0.073,1770861263,2026-02-12 07:24:23 IST,52.79,-0.4533
1770825065-DOGEUSDT-SHORT,1770825065,2026-02-11 21:21:05 IST,DOGEUSDT,SHORT,mtf_ema_ribbon,Multi-TF EMA Ribbon,2h,,0.08852,1024.3902439024462,MTF EMA Ribbon SHORT | 15m DOWN trend | 5m rally rejection @ EMA20 | RSI=36.8 | Vol=0.6x | 15m gap=0.855%,,,,
1770824990-BNBUSDT-SHORT,1770824990,2026-02-11 21:19:50 IST,BNBUSDT,SHORT,mtf_ema_ribbon,Multi-TF EMA Ribbon,2h,,591.78,0.16758104738154556,MTF EMA Ribbon SHORT | 15m DOWN trend | 5m rally rejection @ EMA20 | RSI=35.3 | Vol=0.5x | 15m gap=0.678%,1770838538,2026-02-12 01:05:38 IST,609.74,0.2882
1770792355-DOGEUSDT-SHORT,1770792355,2026-02-11 12:15:55 IST,DOGEUSDT,SHORT,atr_breakout,ATR Volatility Breakout,1m,,0.09058,1766.394347538088,ATR breakout DOWN | Break=0.60x ATR | Vol=2.0x,,,,
1770790786-ETHUSDT-SHORT,1770790786,2026-02-11 11:49:46 IST,ETHUSDT,SHORT,bb_squeeze,Bollinger Squeeze Breakout,1m,,1945.75,0.05139406398560966,BB squeeze breakout DOWN | BW=1.68% | ATR=0.402% | Vol>1.5x,,,,
1770790486-LTCUSDT-SHORT,1770790486,2026-02-11 11:44:46 IST,LTCUSDT,SHORT,bb_squeeze,Bollinger Squeeze Breakout,1m,,52.05,2.947368421052623,BB squeeze breakout DOWN | BW=1.20% | ATR=0.261% | Vol>1.5x,1770840563,2026-02-12 01:39:23 IST,52.09,0.82863
1770790411-DOGEUSDT-SHORT,1770790411,2026-02-11 11:43:31 IST,DOGEUSDT,SHORT,bb_squeeze,Bollinger Squeeze Breakout,1m,,0.09077,1595.4415954415895,BB squeeze breakout DOWN | BW=1.51% | ATR=0.276% | Vol>1.5x,,,,
1770790111-ETHUSDT-SHORT,1770790111,2026-02-11 11:38:31 IST,ETHUSDT,SHORT,atr_breakout,ATR Volatility Breakout,1m,,1966.8,0.08135041692088672,ATR breakout DOWN | Break=0.53x ATR | Vol=2.3x,1770861938,2026-02-12 07:35:38 IST,1962.6,0.8092
1770785636-DOGEUSDT-LONG,1770785636,2026-02-11 10:23:56 IST,DOGEUSDT,LONG,keltner_reversion,Keltner Channel Mean Reversion,2h,,0.09174,1526.051885764116,Keltner LONG Reversion | Price at lower band | RSI=25.0 | ADX=26.3 | CMF=-0.079 | Dist to mid=0.81%,,,,
1770785038-DOGEUSDT-LONG,1770785038,2026-02-11 10:13:58 IST,DOGEUSDT,LONG,keltner_reversion,Keltner Channel Mean Reversion,2h,,0.09164,1527.7171540811873,Keltner LONG Reversion | Price at lower band | RSI=29.6 | ADX=23.3 | CMF=-0.090 | Dist to mid=1.06%,1770853688,2026-02-12 05:18:08 IST,0.0911,0.78795
1770784813-NEARUSDT-SHORT,1770784813,2026-02-11 10:10:13 IST,NEARUSDT,SHORT,bb_squeeze,Bollinger Squeeze Breakout,1m,,0.979,151.3513513513512,BB squeeze breakout DOWN | BW=1.79% | ATR=0.409%,1770786384,2026-02-11 10:36:24 IST,0.981,-0.45299999999999996
1770784663-ETHUSDT-LONG,1770784663,2026-02-11 10:07:43 IST,ETHUSDT,LONG,keltner_reversion,Keltner Channel Mean Reversion,2h,,1982.61,0.0703139013452909,Keltner LONG Reversion | Price at lower band | RSI=20.1 | ADX=29.3 | CMF=-0.015 | Dist to mid=1.07%,1770837413,2026-02-12 00:46:53 IST,1953.23,0.61692
1770783241-LTCUSDT-SHORT,1770783241,2026-02-11 09:44:01 IST,LTCUSDT,SHORT,bb_squeeze,Bollinger Squeeze Breakout,1m,,52.94,3.7778617302606725,BB squeeze breakout DOWN | BW=0.45% | ATR=0.098%,1770792908,2026-02-11 12:25:08 IST,52.04,0.19011
1770783166-ETHUSDT-SHORT,1770783166,2026-02-11 09:42:46 IST,ETHUSDT,SHORT,bb_squeeze,Bollinger Squeeze Breakout,1m,,2003.05,0.09984773220838222,BB squeeze breakout DOWN | BW=0.49% | ATR=0.116%,1770853163,2026-02-12 05:09:23 IST,1939.01,0.41902
1770781291-AVAXUSDT-LONG,1770781291,2026-02-11 09:11:31 IST,AVAXUSDT,LONG,adx_di_cross,ADX DI Crossover,2h,,8.954,13.401831583649765,ADX DI Cross LONG | ADX=37.3↑ | +DI=44.8>16.7 | RSI=65.7 | Vol=4.5x | BBwidth=0.017↑,,,,
1770779716-ETHUSDT-SHORT,1770779716,2026-02-11 08:45:16 IST,ETHUSDT,SHORT,bb_squeeze,Bollinger Squeeze Breakout,1m,,2009.18,0.09954309718392577,BB squeeze breakout DOWN | BW=0.46% | ATR=0.122%,1770840488,2026-02-12 01:38:08 IST,1947.54,0.15762
1770779191-DOGEUSDT-SHORT,1770779191,2026-02-11 08:36:31 IST,DOGEUSDT,SHORT,bb_squeeze,Bollinger Squeeze Breakout,1m,,0.09281,2154.9402004094386,BB squeeze breakout DOWN | BW=0.35% | ATR=0.083%,1770832988,2026-02-11 23:33:08 IST,0.09007,0.83421
1770777019-LTCUSDT-LONG,1770777019,2026-02-11 08:00:19 IST,LTCUSDT,LONG,bb_squeeze,Bollinger Squeeze Breakout,1m,,53.67,3.7264766163592324,BB squeeze breakout UP | BW=0.36% | ATR=0.073%,1770846338,2026-02-12 03:15:38 IST,52.66,0.45780000000000004
1770775516-DOGEUSDT-LONG,1770775516,2026-02-11 07:35:16 IST,DOGEUSDT,LONG,bb_squeeze,Bollinger Squeeze Breakout,1m,,0.09331,2143.392991104919,BB squeeze breakout UP | BW=0.57% | ATR=0.077%,1770777090,2026-02-11 08:01:30 IST,0.09351,0.4286
1770775441-ETHUSDT-LONG,1770775441,2026-02-11 07:34:01 IST,ETHUSDT,LONG,bb_squeeze,Bollinger Squeeze Breakout,1m,,2028.6,0.09859016070196194,BB squeeze breakout UP | BW=0.37% | ATR=0.089%,1770777015,2026-02-11 08:00:15 IST,2028.87,0.11661998999999999
1770774241-AVAXUSDT-LONG,1770774241,2026-02-11 07:14:01 IST,AVAXUSDT,LONG,bb_squeeze,Bollinger Squeeze Breakout,1m,,8.774,22.794620469569185,BB squeeze breakout UP | BW=0.38% | ATR=0.075%,1770875889,2026-02-12 11:28:09 IST,8.768,0.416
1770771316-LTCUSDT-LONG,1770771316,2026-02-11 06:25:16 IST,LTCUSDT,LONG,bb_squeeze,Bollinger Squeeze Breakout,1m,,53.42,3.743916136278547,BB squeeze breakout UP | BW=0.40% | ATR=0.082%,1770772890,2026-02-11 06:51:30 IST,53.36,-0.26201
1770768391-ETHUSDT-LONG,1770768391,2026-02-11 05:36:31 IST,ETHUSDT,LONG,bb_squeeze,Bollinger Squeeze Breakout,1m,,2022.72,0.09887676000632811,BB squeeze breakout UP | BW=0.27% | ATR=0.090%,1770777015,2026-02-11 08:00:15 IST,2028.87,0.11661998999999999
1770768241-LTCUSDT-LONG,1770768241,2026-02-11 05:34:01 IST,LTCUSDT,LONG,bb_squeeze,Bollinger Squeeze Breakout,1m,,53.38,3.746721618583739,BB squeeze breakout UP | BW=0.15% | ATR=0.060%,1770769814,2026-02-11 06:00:14 IST,53.3,-0.41206
1770766741-ETHUSDT-LONG,1770766741,2026-02-11 05:09:01 IST,ETHUSDT,LONG,bb_squeeze,Bollinger Squeeze Breakout,1m,,2018.85,0.09906630012135623,BB squeeze breakout UP | BW=0.32% | ATR=0.081%,1770769964,2026-02-11 06:02:44 IST,2023.95,0.18228
1770766366-LTCUSDT-LONG,1770766366,2026-02-11 05:02:46 IST,LTCUSDT,LONG,bb_squeeze,Bollinger Squeeze Breakout,1m,,53.3,3.75234521575985,BB squeeze breakout UP | BW=0.27% | ATR=0.064%,1770767939,2026-02-11 05:28:59 IST,53.32,
1770762166-AVAXUSDT-LONG,1770762166,2026-02-11 03:52:46 IST,AVAXUSDT,LONG,bb_squeeze,Bollinger Squeeze Breakout,1m,,8.712,22.95684113865932,BB squeeze breakout UP | BW=0.30% | ATR=0.075%,1770844613,2026-02-12 02:46:53 IST,8.701,0.156
1770759091-LTCUSDT-SHORT,1770759091,2026-02-11 03:01:31 IST,LTCUSDT,SHORT,bb_kc_squeeze,BB+Keltner Squeeze Breakout,2h,,52.99,2.2645782223060955,BB+KC Squeeze SHORT FIRE | Momentum=-0.26↓ | ADX=31.4 | Vol=1.9x | RSI=38.5 | ATR%=0.226%,1770792908,2026-02-11 12:25:08 IST,52.04,0.19011
1770759016-ETHUSDT-SHORT,1770759016,2026-02-11 03:00:16 IST,ETHUSDT,SHORT,bb_squeeze,Bollinger Squeeze Breakout,1m,,2004.52,0.09977450960828528,BB squeeze breakout DOWN | BW=0.46% | ATR=0.072%,1770760589,2026-02-11 03:26:29 IST,2007.06,-0.34254
1770755354-LTCUSDT-LONG,1770755354,2026-02-11 01:59:14 IST,LTCUSDT,LONG,bb_squeeze,Bollinger Squeeze Breakout,1m,,53.29,3.7530493525989868,BB squeeze breakout UP | BW=0.32% | ATR=0.079%,1770756854,2026-02-11 02:24:14 IST,,
1770754454-AVAXUSDT-SHORT,1770754454,2026-02-11 01:44:14 IST,AVAXUSDT,SHORT,bb_squeeze,Bollinger Squeeze Breakout,1m,,8.697,22.996435552489366,BB squeeze breakout DOWN | BW=0.41% | ATR=0.102%,1770756027,2026-02-11 02:10:27 IST,,
1770752281-NEARUSDT-LONG,1770752281,2026-02-11 01:08:01 IST,NEARUSDT,LONG,bb_squeeze,Bollinger Squeeze Breakout,1m,,0.991,193.10344827586187,BB squeeze breakout UP | BW=1.23% | ATR=0.209%,1770865164,2026-02-12 08:29:24 IST,0.975,-0.246
1770749590-DOGEUSDT-LONG,1770749590,2026-02-11 00:23:10 IST,DOGEUSDT,LONG,keltner_reversion,Keltner Channel Mean Reversion,2h,,0.0923,1516.7930660888408,Keltner LONG Reversion | Price at lower band | RSI=20.5 | ADX=25.6 | CMF=0.005 | Dist to mid=0.87%,1770777090,2026-02-11 08:01:30 IST,0.09351,0.4286
1770748015-AVAXUSDT-SHORT,1770748015,2026-02-10 23:56:55 IST,AVAXUSDT,SHORT,bb_squeeze,Bollinger Squeeze Breakout,1m,,8.712,22.95684113865932,BB squeeze breakout DOWN | BW=1.03% | ATR=0.169%,1770749587,2026-02-11 00:23:07 IST,,
1770746814-NEARUSDT-SHORT,1770746814,2026-02-10 23:36:54 IST,NEARUSDT,SHORT,bb_kc_squeeze,BB+Keltner Squeeze Breakout,2h,,0.996,112.00000000000199,BB+KC Squeeze SHORT FIRE | Momentum=-0.00↓ | ADX=27.5 | Vol=1.6x | RSI=41.7 | ATR%=0.409%,1770748388,2026-02-11 00:03:08 IST,,
1770743889-ETHUSDT-LONG,1770743889,2026-02-10 22:48:09 IST,ETHUSDT,LONG,bb_squeeze,Bollinger Squeeze Breakout,1m,,2031.75,0.09843730773963331,BB squeeze breakout UP | BW=0.67% | ATR=0.132%,1770768314,2026-02-11 05:35:14 IST,2021.28,0.25839
1770741545-DOGEUSDT-LONG,1770741545,2026-02-10 22:09:05 IST,DOGEUSDT,LONG,bb_squeeze,Bollinger Squeeze Breakout,1m,,0.09342,2140.869192892314,BB squeeze breakout UP | BW=0.73% | ATR=0.167%,1770751123,2026-02-11 00:48:43 IST,,
1770740120-ETHUSDT-LONG,1770740120,2026-02-10 21:45:20 IST,ETHUSDT,LONG,bb_squeeze,Bollinger Squeeze Breakout,1m,,2031.82,0.09204470742932327,BB squeeze breakout UP | BW=1.08% | ATR=0.214%,1770745462,2026-02-10 23:14:22 IST,,
1770739522-DOGEUSDT-SHORT,1770739522,2026-02-10 21:35:22 IST,DOGEUSDT,SHORT,bb_squeeze,Bollinger Squeeze Breakout,1m,,0.09255,2160.9940572663427,BB squeeze breakout DOWN | BW=0.60% | ATR=0.184%,1770792834,2026-02-11 12:23:54 IST,0.09015,1.78872998
1770734672-DOGEUSDT-SHORT,1770734672,2026-02-10 20:14:32 IST,DOGEUSDT,SHORT,bb_kc_squeeze,BB+Keltner Squeeze Breakout,2h,,0.09237,649.5615459564794,BB+KC Squeeze SHORT FIRE | Momentum=-0.00↓ | ADX=18.4 | Vol=4.7x | RSI=28.5 | ATR%=0.426%,1770792834,2026-02-11 12:23:54 IST,0.09015,1.78872998
1770734447-BNBUSDT-SHORT,1770734447,2026-02-10 20:10:47 IST,BNBUSDT,SHORT,adx_di_cross,ADX DI Crossover,2h,,619.2,0.1802575107296117,ADX DI Cross SHORT | ADX=29.4↑ | -DI=33.0>17.8 | RSI=33.3 | Vol=3.2x | BBwidth=0.010↑,1770736020,2026-02-10 20:37:00 IST,,
1770734363-ETHUSDT-SHORT,1770734363,2026-02-10 20:09:23 IST,ETHUSDT,SHORT,bb_squeeze,Bollinger Squeeze Breakout,1m,,2007.33,0.06668254346272938,BB squeeze breakout DOWN | BW=1.43% | ATR=0.299%,1770760589,2026-02-11 03:26:29 IST,2007.06,-0.34254
1770734362-DOGEUSDT-SHORT,1770734362,2026-02-10 20:09:22 IST,DOGEUSDT,SHORT,bb_kc_squeeze,BB+Keltner Squeeze Breakout,2h,,0.09248,979.5918367346933,BB+KC Squeeze SHORT FIRE | Momentum=-0.00↓ | ADX=17.7 | Vol=5.0x | RSI=38.3 | ATR%=0.392%,1770735870,2026-02-10 20:34:30 IST,,
1770731763-LTCUSDT-LONG,1770731763,2026-02-10 19:26:03 IST,LTCUSDT,LONG,bb_squeeze,Bollinger Squeeze Breakout,1m,,53.33,3.750234389649353,BB squeeze breakout UP | BW=0.33% | ATR=0.094%,1770733336,2026-02-10 19:52:16 IST,,
1770728439-INJUSDT-SHORT,1770728439,2026-02-10 18:30:39 IST,INJUSDT,SHORT,vwap_bounce,VWAP Bounce Scalp,1m,,3.039,78.97334649555775,VWAP rejection short | Dist=-0.028% | RSI=50.0,1770729947,2026-02-10 18:55:47 IST,,
1770728360-INJUSDT-SHORT,1770728360,2026-02-10 18:29:20 IST,INJUSDT,SHORT,vwap_bounce,VWAP Bounce Scalp,1m,,3.038,78.99934167215274,VWAP rejection short | Dist=-0.076% | RSI=55.6,1770729947,2026-02-10 18:55:47 IST,,
